id,equ_id,location,subdistric,distric,provine,lat,lng
327,WN08,เกาะหลาวเหลียงใต้,เกาะสุกร,ปะเหลียน,ตรัง,7.10888,99.42997
328,WN09,เกาะเภตรา,เกาะสุกร,ปะเหลียน,ตรัง,7.04404,99.47344
329,WN10,อบต.ไม้ฝาด,ไม้ฝาด,สิเกา,ตรัง,7.495096,99.328118
330,WN11,หลังปั๊มน้ำมัน บริเวณหาดยาวเจ้าไหม,เกาะลิบง,กันตัง,ตรัง,7.31028,99.39995
331,WN12,บ้านทุ่งรวงทอง ม.4,ท่าข้าม,ปะเหลียน,ตรัง,7.11672,99.66692
332,WN13,บ้านหาดทรายทอง ม.4,เกาะสุกร,ปะเหลียน,ตรัง,7.10948,99.57909
333,WN14,บ้านหยงสตาร์ ม.2,ท่าข้าม,ปะเหลียน,ตรัง,7.12854,99.69396
334,WN15,บ้านบ่อหิน ม.6,บ่อหิน,สิเกา,ตรัง,7.578901,99.290582
335,WN16,หาดราชมงคล ม.3,ไม้ฝาด,สิเกา,ตรัง,7.52301,99.30815
336,WN17,บริเวณหาดปากเมง ม.3,ไม้ฝาด,สิเกา,ตรัง,7.48507,99.33151
337,WN18,หาดเจ้าไหม ม.5,ไม้ฝาด,สิเกา,ตรัง,7.42329,99.34755
338,WN19,บ้านแหลมไทร 11.3,เขาไม้แก้ว,สิเกา,ตรัง,7.62954,99.24402
339,WN20,บ้านแหลมปอ ม.5,หาดสำราญ,หาดสำราญ,ตรัง,7.23547,99.53647
340,WN21,บ้านทุ่งเปลว ม.3,ตะเสะ,หาดสำราญ,ตรัง,7.16717,99.57584
341,WN22,บ้านบาตูปูเต๊ะ ม.4,เกาะลิบง,กันตัง,ตรัง,7.23057,99.3929
342,WN23,โรงเรียนบ้านมดตะนอย ม.3,เกาะลิบง,กันตัง,ตรัง,7.30639,99.41944
343,WN24,ท่าเทียบเรือหาดปากเมง ม.4,ไม้ฝาด,สิเกา,ตรัง,7.50673,99.31397
344,WN25,บ้านโคกสะท้อน ม.1,เกาะลิบง,กันตัง,ตรัง,7.30798,99.39537
345,EA08,ศูนย์บริการนักท่องเที่ยว ม.4,อ่างศิลา,เมือง,ชลบุรี,13.33798,100.92775
346,EA09,สวนสาธารณะ อบต.คลองตำหรุ หมู่ 1,คลองตำหรุ,เมือง,ชลบุรี,13.4449,100.99258
347,EA10,สวนเฉลิมพระเกียรติ ร.9 ชายทะเลบางพระ หมู่ 1,บางพระ,ศรีราชา,ชลบุรี,13.20902,100.93472
348,EA11,สวนสาธารณะเทศบาลเมืองศรีราชา,ศรีราชา,ศรีราชา,ชลบุรี,13.16933,100.9248
349,EB06,เทศบาลตำบลสุนทรภู่ หมู่ 1,ชากพง,แกลง,ระยอง,12.65972,101.5938
350,EB08,อบต.ตะพง หมู่ 12,ตะพง,เมือง,ระยอง,12.64633,101.35117
351,EB09,บริเวณอนุสรณ์สถานเรือรบประแส หมู่ 8,ปากน้ำประแส,แกลง,ระยอง,12.6967,101.7041
352,EB10,เทศบาลตำบลแกลงกะเฉด หมู่ 6,แกลงกะเฉด,เมือง,ระยอง,12.62839,101.49758
